Date,Open,High,Low,Close,Volume
2010-10-31,23.595,24.752,23.352,24.469,45864521
2010-11-30,24.907,26.161,23.643,24.363,45651961
2010-12-31,24.78,26.889,24.771,26.773,38218815
2011-01-31,27.045,27.871,26.141,27.725,56348009
2011-02-28,27.832,28.969,27.473,28.882,40695525
2011-03-31,29.057,29.805,27.414,29.65,54025622
2011-04-30,29.678,31.088,29.552,31,44234877
2011-05-31,30.767,31.117,27.463,29.397,77432660
2011-06-30,29.406,29.815,27.172,28.143,57654120
2011-07-31,27.998,30.047,27.89,29.426,44082963
2011-08-31,29.853,29.863,26.705,29.309,73704487
2011-09-30,29.241,29.358,24.946,25.024,72014778
2011-10-31,24.596,27.647,24.479,26.938,51793020
2011-11-30,26.277,27.745,25.85,26.861,34712749
2011-12-31,26.783,27.172,25.189,26.083,42216398
2012-01-31,26.578,27.463,25.937,27.045,63898890
2012-02-29,27.21,28.901,26.957,28.493,47930431
2012-03-31,28.571,29.086,27.551,27.988,46610265
2012-04-30,27.783,28.386,26.948,27.609,29821452
2012-05-31,27.521,27.696,24.469,24.528,58096786
2012-06-30,24.188,25.131,23.43,25.024,63873414
2012-07-31,24.936,26.987,24.703,26.482,44312174
2012-08-31,26.559,28.143,26.219,27.978,48313274
2012-09-30,28.201,29.018,27.162,27.871,55956132
2012-10-31,28.016,28.182,26.55,26.783,41616195
2012-11-30,26.879,27.395,26.316,27.308,36437320
2012-12-31,27.56,27.579,26.53,26.996,38091491
2013-01-31,27.317,27.696,26.578,27.667,45625380
2013-02-28,27.755,27.92,26.336,26.364,46835568
2013-03-31,26.122,26.802,25.976,26.54,47298019
2013-04-30,26.414,26.627,24.771,25.529,47874014
2013-05-31,25.082,25.83,24.975,25.131,47511124
2013-06-30,25.383,25.85,24.383,24.421,48478988
2013-07-31,24.625,25.558,24.499,25.199,37979445
2013-08-31,25.315,26.346,24.586,25.908,37508805
2013-09-30,26.053,26.112,24.888,25.033,72986117
2013-10-31,24.858,25.636,24.712,25.024,42367130
2013-11-30,24.839,24.898,24.295,24.79,34484050
2013-12-31,24.712,25.189,24.451,24.936,60317935
